E#1 / keV,N#1,E#10 / keV,N#10
-0.1,0,-0.1,0
0.1,0,0.1,0
0.4,0,0.4,0
0.6,0,0.6,0
0.8,0,0.8,0
1.1,0,1.1,0
1.3,0,1.3,0
1.5,5,1.5,1
1.7,6,1.7,1
2,20,2,0
2.2,42,2.2,2
2.4,73,2.4,8
2.7,92,2.7,9
2.9,95,2.9,21
3.1,109,3.1,25
3.4,98,3.4,8
3.6,80,3.6,12
3.8,115,3.8,12
4.1,98,4.1,10
4.3,104,4.3,9
4.5,94,4.5,10
4.7,112,4.7,10
5,107,5,8
5.2,92,5.2,6
5.4,113,5.4,11
5.7,125,5.7,9
5.9,173,5.9,13
6.1,845,6.1,10
6.4,1981,6.4,9
6.6,1746,6.6,7
6.8,949,6.8,13
7,470,7,3
7.3,235,7.3,11
7.5,72,7.5,13
7.7,14,7.7,15
8,3,8,5
8.2,2,8.2,12
8.4,3,8.4,9
8.7,3,8.7,4
8.9,1,8.9,8
9.1,2,9.1,10
9.3,1,9.3,16
9.6,3,9.6,18
9.8,2,9.8,19
10,5,10,9
10.3,3,10.3,12
10.5,2,10.5,10
10.7,3,10.7,7
11,1,11,6
11.2,4,11.2,15
11.4,1,11.4,11
11.6,1,11.6,16
11.9,2,11.9,7
12.1,1,12.1,6
12.3,3,12.3,4
12.6,3,12.6,6
12.8,1,12.8,9
13,0,13,11
13.3,0,13.3,5
13.5,0,13.5,7
13.7,0,13.7,3
14,1,14,6
14.2,4,14.2,6
14.4,1,14.4,3
14.6,1,14.6,6
14.9,2,14.9,7
15.1,0,15.1,2
15.3,0,15.3,5
15.6,1,15.6,5
15.8,0,15.8,6
16,1,16,6
16.3,0,16.3,7
16.5,4,16.5,13
16.7,2,16.7,10
16.9,7,16.9,8
17.2,9,17.2,14
17.4,14,17.4,13
17.6,6,17.6,13
17.9,5,17.9,7
18.1,5,18.1,8
18.3,1,18.3,4
18.6,1,18.6,2
18.8,1,18.8,7
19,2,19,6
19.2,1,19.2,9
19.5,1,19.5,5
19.7,1,19.7,11
19.9,1,19.9,12
20.2,1,20.2,7
20.4,0,20.4,13
20.6,2,20.6,7
20.9,2,20.9,8
21.1,0,21.1,8
21.3,0,21.3,15
21.5,1,21.5,15
21.8,1,21.8,50
22,0,22,156
22.2,0,22.2,188
22.5,1,22.5,89
22.7,0,22.7,29
22.9,1,22.9,12
23.2,0,23.2,2
23.4,0,23.4,4
23.6,0,23.6,4
23.9,2,23.9,2
24.1,0,24.1,0
24.3,0,24.3,4
24.5,0,24.5,6
24.8,0,24.8,21
25,0,25,20
25.2,0,25.2,17
25.5,0,25.5,9
25.7,0,25.7,2
25.9,0,25.9,0
26.2,1,26.2,0
26.4,0,26.4,0
26.6,0,26.6,0
26.8,0,26.8,0
27.1,0,27.1,0
27.3,1,27.3,0
27.5,0,27.5,0
27.8,1,27.8,0
28,1,28,0
28.2,1,28.2,0
28.5,0,28.5,0
28.7,1,28.7,0
28.9,0,28.9,0
29.1,0,29.1,0
29.4,0,29.4,1
29.6,1,29.6,0
